tweet_id,favorites,retweets
892420643555336193,34561,7195
892177421306343426,29947,5402
891815181378084864,22543,3569
891689557279858688,37808,7422
891327558926688256,36098,7955
891087950875897856,18207,2676
890971913173991426,10609,1718
890729181411237888,58167,16193
890609185150312448,25078,3716
890240255349198849,28591,6256
890006608113172480,27621,6303
889880896479866881,25109,4280
889665388333682689,43007,8571
889638837579907072,24200,3826
889531135344209921,13633,1927
889278841981685760,22608,4562
888917238123831296,26193,3841
888804989199671297,22960,3632
888554962724278272,17712,2957
888078434458587136,19571,2974
887705289381826560,27221,4647
887517139158093824,41660,10085
887473957103951883,61579,15407
887343217045368832,30240,9031
887101392804085760,27564,5108
886983233522544640,31095,6520
886736880519319552,10728,2716
886680336477933568,20191,3831
886366144734445568,18968,2702
886267009285017600,104,3
886258384151887873,25123,5415
886054160059072513,0,96
885984800019947520,29259,5756
885528943205470208,32300,5484
885518971528720385,18403,3192
885311592912609280,0,15843
885167619883638784,19648,3755
884925521741709313,68914,15439
884876753390489601,24957,4785
884562892145688576,21816,4017
884441805382717440,24397,4899
884247878851493888,64856,17370
884162670584377345,18346,2553
883838122936631299,19624,2936
883482846933004288,41138,8489
883360690899218434,20389,3159
883117836046086144,33284,5674
882992080364220416,21448,3316
882762694511734784,25345,4203
882627270321602560,25167,5202
882268110199369728,40131,9926
882045870035918850,26352,4181
881906580714921986,21919,2920
881666595344535552,45558,9188
881633300179243008,113,8
881536004380872706,44438,13747
881268444196462592,20956,4583
880935762899988482,15385,2396
880872448815771648,19152,3280
880465832366813184,25549,5336
880221127280381952,24225,3570
880095782870896641,24855,3741
879862464715927552,20154,2996
879674319642796034,284,9
879492040517615616,21164,2710
879415818425184262,94967,38415
879376492567855104,15170,2700
879130579576475649,0,5877
879050749262655488,20260,4049
879008229531029506,17141,2306
878776093423087618,17490,3524
878604707211726852,27006,6069
878404777348136964,0,1098
878316110768087041,0,5685
878281511006478336,6945,1098
878057613040115712,37933,5877
877736472329191424,70996,16249
877611172832227328,0,70
877556246731214848,20408,3258
877316821321428993,24715,4468
877201837425926144,24380,4765
876838120628539392,18631,2869
876537666061221889,21477,4074
876484053909872640,16932,2049
876120275196170240,25213,4012
875747767867523072,22667,3676
875144289856114688,19803,4236
875097192612077568,24785,5256
875021211251597312,23042,4080
874680097055178752,25139,4018
874434818259525634,0,12547
874296783580663808,23518,3574
874057562936811520,20575,3466
874012996292530176,30807,8797
873580283840344065,21910,3414
873337748698140672,0,1359
873213775632977920,6462,1359
872967104147763200,24610,4672
872820683541237760,13353,3238
872620804844003328,18774,3144
872486979161796608,36908,7909
872122724285648897,30951,7025
871879754684805121,33864,9474
871762521631449091,18300,3041
871515927908634625,18277,3019
871166179821445120,0,5004
871102520638267392,18964,4810
871032628920680449,20600,3308
870804317367881728,30480,5400
870726314365509632,109,3
870656317836468226,11126,2264
870374049280663552,75606,23339
870308999962521604,19905,3632
870063196459192321,33120,7250
869772420881756160,38771,8903
869702957897576449,25584,5511
869596645499047938,14517,2705
869227993411051520,18544,3288
868880397819494401,59289,12591
868639477480148993,0,1796
868622495443632128,24172,4605
868552278524837888,9182,1796
867900495410671616,22054,3664
867774946302451713,30912,6414
867421006826221569,14645,2177
867072653475098625,0,106
867051520902168576,29340,6944
866720684873056260,18229,4224
866686824827068416,17520,3036
866450705531457537,111316,31060
866334964761202691,47655,12547
866094527597207552,0,7359
865718153858494464,23472,4979
865359393868664832,24143,4405
865006731092295680,25614,6819
864873206498414592,29419,7675
864279568663928832,13341,2643
864197398364647424,27280,7778
863907417377173506,18872,3679
863553081350529029,13959,3725
863471782782697472,0,2136
863432100342583297,21810,4668
863427515083354112,2001,82
863079547188785154,8060,986
863062471531167744,7699,2136
862831371563274240,17577,4574
862722525377298433,15675,3168
862457590147678208,18675,4356
862096992088072192,67845,20520
861383897657036800,33046,9531
861288531465048066,15729,3683
861005113778896900,15345,3411
860981674716409858,0,1900
860924035999428608,0,694
860563773140209665,6881,1900
860524505164394496,21750,4729
860276583193509888,16969,3146
860184849394610176,15321,5233
860177593139703809,0,27527
859924526012018688,18059,3675
859851578198683649,14271,3158
859607811541651456,17215,1388
859196978902773760,82509,26986
859074603037188101,31123,12259
858860390427611136,0,7283
858843525470990336,14436,3106
858471635011153920,19941,4381
858107933456039936,14577,2598
857989990357356544,14845,2316
857746408056729600,31558,9584
